Student_ID,Age,Education_Level,Engagement_Level,Learning_Style
S00096,38,High School,Medium,Reading/Writing
S00097,22,Undergraduate,High,Auditory
S00098,46,Undergraduate,Medium,Visual
S00099,33,Undergraduate,Medium,Reading/Writing
S00100,46,Undergraduate,High,Kinesthetic
S00101,20,Postgraduate,Medium,Kinesthetic
S00102,40,High School,High,Visual
S00103,25,Undergraduate,High,Auditory
S00104,28,Undergraduate,Low,Visual
S00105,36,Undergraduate,Medium,Reading/Writing
S00106,33,Undergraduate,High,Reading/Writing
S00107,22,Undergraduate,Medium,Kinesthetic
S00108,46,Undergraduate,Medium,Kinesthetic
S00109,27,High School,Medium,Visual
S00110,33,Undergraduate,Medium,Kinesthetic
S00111,18,Undergraduate,Medium,Auditory
S00112,31,High School,High,Kinesthetic
S00113,38,Postgraduate,Low,Reading/Writing
S00114,15,Postgraduate,High,Visual
S00115,18,Undergraduate,Low,Kinesthetic
S00116,47,Undergraduate,High,Reading/Writing
S00117,41,High School,High,Auditory
S00118,49,Undergraduate,High,Auditory
S00119,44,High School,Low,Auditory
S00120,49,Undergraduate,Medium,Auditory
S00121,17,Undergraduate,Medium,Auditory
S00122,16,Undergraduate,High,Visual
S00123,32,Undergraduate,Low,Visual
S00124,15,High School,Low,Auditory
S00125,42,Undergraduate,High,Auditory
S00126,24,Postgraduate,Low,Visual
S00127,35,High School,Medium,Visual
S00128,17,Postgraduate,Low,Kinesthetic
S00129,15,Postgraduate,High,Kinesthetic
S00130,34,Undergraduate,Medium,Visual
S00131,18,High School,Medium,Reading/Writing
S00132,40,Undergraduate,Medium,Visual
S00133,16,Postgraduate,Low,Reading/Writing
S00134,17,Postgraduate,Medium,Visual
S00135,28,Undergraduate,Medium,Visual
S00136,47,Postgraduate,Medium,Kinesthetic
S00137,35,Undergraduate,Medium,Visual
S00138,48,Undergraduate,High,Reading/Writing
S00139,27,Undergraduate,Medium,Kinesthetic
S00140,49,Undergraduate,Medium,Kinesthetic
S00141,24,Undergraduate,Medium,Auditory
S00142,44,High School,High,Reading/Writing
S00143,22,Undergraduate,High,Kinesthetic
S00144,22,Undergraduate,Medium,Auditory
S00145,32,High School,Medium,Auditory
S00146,23,Postgraduate,Medium,Auditory
S00147,30,Postgraduate,Low,Visual
S00148,35,High School,High,Auditory
S00149,25,Undergraduate,Medium,Reading/Writing
S00150,26,Undergraduate,Medium,Visual
S00151,26,Undergraduate,High,Auditory
S00152,40,High School,Medium,Reading/Writing
S00153,45,Undergraduate,Medium,Auditory
S00154,38,Undergraduate,High,Auditory
S00155,46,Postgraduate,High,Kinesthetic
S00156,28,Undergraduate,High,Auditory
S00157,18,High School,High,Visual
S00158,38,Postgraduate,High,Visual
S00159,26,High School,Medium,Kinesthetic
S00160,25,Undergraduate,Low,Reading/Writing
S00161,25,Undergraduate,Low,Auditory
S00162,35,Undergraduate,Low,Auditory
S00163,26,Undergraduate,High,Kinesthetic
S00164,44,High School,Medium,Reading/Writing
S00165,18,Postgraduate,Medium,Visual
S00166,22,Undergraduate,Medium,Auditory
S00167,26,Postgraduate,Low,Kinesthetic
S00168,29,High School,Medium,Visual
S00169,15,Undergraduate,Medium,Kinesthetic
S00170,29,Undergraduate,Low,Reading/Writing
S00171,16,Undergraduate,Medium,Kinesthetic
S00172,22,Undergraduate,Low,Kinesthetic
S00173,18,Undergraduate,High,Kinesthetic
S00174,27,High School,Medium,Auditory
S00175,32,Postgraduate,Medium,Kinesthetic
S00176,31,Undergraduate,High,Auditory
S00177,29,Undergraduate,Medium,Kinesthetic
S00178,24,High School,Medium,Kinesthetic
S00179,43,Undergraduate,High,Kinesthetic
S00180,28,Undergraduate,Medium,Auditory
S00181,33,Undergraduate,Medium,Reading/Writing
S00182,39,Undergraduate,Low,Auditory
S00183,48,Undergraduate,Low,Visual
S00184,36,Undergraduate,Medium,Kinesthetic
S00185,30,Undergraduate,Medium,Auditory
S00186,47,High School,Medium,Visual
S00187,28,High School,Low,Kinesthetic
S00188,44,High School,Low,Visual
S00189,22,Undergraduate,High,Visual
S00190,20,Undergraduate,Medium,Auditory
S00191,33,Undergraduate,Medium,Auditory
S00192,49,Undergraduate,Low,Visual
S00193,20,Undergraduate,Medium,Reading/Writing
S00194,45,Postgraduate,High,Reading/Writing
S00195,15,Undergraduate,Low,Auditory
S00196,21,Postgraduate,Low,Kinesthetic
S00197,45,High School,Medium,Visual
S00198,48,Undergraduate,Medium,Kinesthetic
S00199,39,Postgraduate,High,Visual
S00200,25,Postgraduate,Medium,Visual
S00201,15,Undergraduate,High,Visual
S00202,36,Undergraduate,Low,Auditory
S00203,20,High School,High,Visual
S00204,16,High School,Medium,Kinesthetic
S00205,28,Undergraduate,Medium,Kinesthetic
S00206,29,Postgraduate,High,Kinesthetic
S00207,39,High School,Medium,Auditory
S00208,26,Postgraduate,Medium,Visual
S00209,41,Postgraduate,Medium,Auditory
S00210,46,Undergraduate,Medium,Visual
S00211,23,Postgraduate,Medium,Visual
S00212,40,Undergraduate,Medium,Visual
S00213,17,Postgraduate,Medium,Visual
S00214,37,Undergraduate,Low,Kinesthetic
S00215,46,Undergraduate,High,Auditory
S00216,43,High School,Low,Visual
S00217,15,Postgraduate,Medium,Reading/Writing
S00218,31,Postgraduate,High,Visual
S00219,17,Postgraduate,High,Kinesthetic
S00220,24,Postgraduate,Medium,Kinesthetic
S00221,38,High School,Medium,Visual
S00222,25,Undergraduate,High,Visual
S00223,30,Undergraduate,Low,Kinesthetic
S00224,16,High School,Medium,Reading/Writing
S00225,26,Undergraduate,Medium,Visual
S00226,22,Postgraduate,High,Visual
S00227,21,High School,Medium,Auditory
S00228,24,High School,Low,Reading/Writing
S00229,22,Undergraduate,Medium,Auditory
S00230,29,Undergraduate,Medium,Kinesthetic
S00231,28,Undergraduate,Low,Auditory
S00232,30,Postgraduate,Medium,Visual
S00233,29,Undergraduate,High,Visual
S00234,20,Undergraduate,Low,Kinesthetic
S00235,40,Undergraduate,High,Auditory
S00236,20,Undergraduate,Medium,Visual
S00237,27,Postgraduate,Medium,Kinesthetic
S00238,30,High School,Medium,Kinesthetic
S00239,40,High School,High,Visual
S00240,23,High School,High,Visual
S00241,38,High School,Medium,Visual
S00242,33,Postgraduate,Medium,Visual
S00243,32,High School,High,Kinesthetic
S00244,24,High School,High,Auditory
S00245,38,Undergraduate,High,Auditory
S00246,29,Undergraduate,High,Auditory
S00247,23,Undergraduate,Medium,Auditory
S00248,21,Undergraduate,Medium,Visual
S00249,31,High School,High,Reading/Writing
S00250,39,Undergraduate,Medium,Auditory
S00251,18,Undergraduate,High,Reading/Writing
S00252,22,Undergraduate,High,Visual
S00253,16,High School,High,Visual
S00254,41,High School,High,Visual
S00255,18,Undergraduate,High,Reading/Writing
S00256,46,Undergraduate,Medium,Reading/Writing
S00257,24,Postgraduate,Medium,Auditory
S00258,26,Undergraduate,High,Kinesthetic
S00259,23,Postgraduate,Low,Visual
S00260,26,High School,Medium,Visual
S00261,42,High School,Medium,Auditory
S00262,19,Undergraduate,Low,Auditory
S00263,46,High School,Medium,Auditory
S00264,17,Postgraduate,High,Kinesthetic
S00265,23,Undergraduate,Medium,Visual
S00266,43,Undergraduate,Medium,Kinesthetic
S00267,24,Undergraduate,Low,Visual
S00268,21,Undergraduate,Medium,Kinesthetic
S00269,37,Undergraduate,Medium,Kinesthetic
S00270,21,Postgraduate,Medium,Reading/Writing
S00271,29,Undergraduate,High,Kinesthetic
S00272,22,Undergraduate,High,Reading/Writing
S00273,20,Undergraduate,Low,Visual
S00274,17,Postgraduate,Medium,Reading/Writing
S00275,44,Undergraduate,Medium,Auditory
S00276,21,High School,Medium,Kinesthetic
S00277,21,Undergraduate,High,Kinesthetic
S00278,16,Undergraduate,High,Visual
S00279,17,Undergraduate,Medium,Kinesthetic
S00280,20,High School,Medium,Kinesthetic
S00281,23,Undergraduate,Medium,Reading/Writing
S00282,15,High School,Medium,Auditory
S00283,26,Undergraduate,Medium,Kinesthetic
S00284,20,Postgraduate,Medium,Visual
S00285,36,Undergraduate,High,Auditory
S00286,25,Undergraduate,Low,Kinesthetic
S00287,22,High School,High,Reading/Writing
S00288,42,Undergraduate,Medium,Visual
S00289,24,Postgraduate,Medium,Reading/Writing
S00290,17,Undergraduate,High,Visual
S00291,28,Undergraduate,Medium,Visual
S00292,41,High School,High,Visual
S00293,48,High School,High,Reading/Writing
S00294,49,Undergraduate,Medium,Kinesthetic
S00295,32,High School,Medium,Visual
S00296,27,High School,Low,Reading/Writing
S00297,18,Undergraduate,Medium,Visual
S00298,25,Undergraduate,Medium,Kinesthetic
S00299,29,Undergraduate,Medium,Kinesthetic
S00300,36,Undergraduate,Medium,Kinesthetic
S00301,34,Postgraduate,Medium,Visual
S00302,41,Undergraduate,Medium,Auditory
S00303,30,High School,Low,Visual
S00304,25,High School,High,Kinesthetic
S00305,15,Undergraduate,Medium,Reading/Writing
S00306,37,High School,Low,Reading/Writing
S00307,47,Postgraduate,Low,Kinesthetic
S00308,47,Postgraduate,Medium,Visual
S00309,45,Undergraduate,High,Auditory
S00310,16,Undergraduate,Medium,Reading/Writing
S00311,40,High School,Medium,Reading/Writing
S00312,46,Postgraduate,High,Auditory
S00313,49,Postgraduate,High,Visual
S00314,40,Undergraduate,Low,Auditory
S00315,28,Undergraduate,Medium,Auditory
S00316,20,Undergraduate,High,Kinesthetic
S00317,36,High School,Medium,Reading/Writing
S00318,27,Undergraduate,High,Visual
S00319,17,High School,Medium,Kinesthetic
S00320,40,High School,High,Reading/Writing
S00321,20,Postgraduate,Low,Auditory
S00322,41,Undergraduate,High,Reading/Writing
S00323,15,Undergraduate,Medium,Auditory
S00324,44,Postgraduate,Low,Auditory
S00325,34,Undergraduate,High,Reading/Writing
S00326,36,Undergraduate,High,Auditory
S00327,20,Postgraduate,Medium,Kinesthetic
S00328,42,Undergraduate,Low,Kinesthetic
S00329,22,Undergraduate,Low,Kinesthetic
S00330,40,Undergraduate,Low,Auditory
S00331,15,Undergraduate,High,Visual
S00332,21,Undergraduate,High,Reading/Writing
S00333,48,Undergraduate,High,Reading/Writing
S00334,44,Undergraduate,Medium,Reading/Writing
S00335,22,High School,Medium,Auditory
S00336,27,Undergraduate,Medium,Auditory
S00337,47,High School,Medium,Kinesthetic
S00338,31,Undergraduate,Medium,Reading/Writing
S00339,21,Postgraduate,High,Visual
S00340,35,Postgraduate,High,Visual
S00341,46,Undergraduate,High,Reading/Writing
S00342,45,High School,Medium,Auditory
S00343,24,Undergraduate,Low,Auditory
S00344,20,Undergraduate,Medium,Visual
S00345,44,Undergraduate,High,Visual
S00346,46,Postgraduate,Medium,Kinesthetic
S00347,32,Undergraduate,Low,Auditory
S00348,24,Undergraduate,Low,Reading/Writing
S00349,27,High School,High,Reading/Writing
S00350,49,High School,Medium,Reading/Writing
S00351,42,Undergraduate,Medium,Reading/Writing
S00352,46,Undergraduate,Medium,Auditory
S00353,43,Undergraduate,High,Reading/Writing
S00354,39,Undergraduate,High,Kinesthetic
S00355,43,High School,High,Kinesthetic
S00356,27,High School,Medium,Kinesthetic
S00357,40,Undergraduate,Medium,Reading/Writing
S00358,42,High School,Medium,Kinesthetic
S00359,27,High School,High,Auditory
S00360,33,Undergraduate,Medium,Reading/Writing
S00361,29,High School,Medium,Reading/Writing
S00362,42,High School,High,Auditory
S00363,46,Undergraduate,High,Visual
S00364,48,Undergraduate,High,Visual
S00365,49,Undergraduate,High,Visual
S00366,46,Undergraduate,Medium,Auditory
S00367,36,Undergraduate,Medium,Reading/Writing
S00368,44,Undergraduate,Medium,Reading/Writing
S00369,24,Undergraduate,Medium,Reading/Writing
S00370,35,Undergraduate,Low,Reading/Writing
S00371,41,Undergraduate,Medium,Kinesthetic
S00372,48,Undergraduate,Medium,Visual
S00373,18,Postgraduate,High,Visual
S00374,31,High School,Medium,Kinesthetic
S00375,19,Undergraduate,Medium,Kinesthetic
S00376,29,Undergraduate,Medium,Visual
S00377,48,Postgraduate,Medium,Auditory
S00378,26,Postgraduate,Medium,Auditory
S00379,34,High School,Medium,Reading/Writing
S00380,38,Postgraduate,Medium,Visual
S00381,22,Undergraduate,Medium,Reading/Writing
S00382,21,Undergraduate,Medium,Visual
S00383,40,High School,Medium,Kinesthetic
S00384,39,Undergraduate,Medium,Reading/Writing
S00385,46,Postgraduate,Low,Reading/Writing
S00386,22,Undergraduate,Medium,Kinesthetic
S00387,24,Undergraduate,Medium,Reading/Writing
S00388,48,Postgraduate,High,Kinesthetic
S00389,35,High School,High,Reading/Writing
S00390,16,Postgraduate,Medium,Visual
S00391,21,Postgraduate,High,Reading/Writing
S00392,26,Postgraduate,High,Visual
S00393,36,Undergraduate,Medium,Kinesthetic
S00394,24,High School,Low,Auditory
S00395,44,Undergraduate,Medium,Kinesthetic
S00396,37,Undergraduate,High,Visual
S00397,35,High School,High,Kinesthetic
S00398,44,High School,Medium,Visual
S00399,48,High School,Medium,Reading/Writing
S00400,17,Undergraduate,Medium,Kinesthetic
S00401,46,High School,High,Kinesthetic
S00402,18,Undergraduate,Medium,Visual
S00403,43,Undergraduate,High,Kinesthetic
S00404,27,Postgraduate,Medium,Reading/Writing
S00405,39,Undergraduate,High,Visual
S00406,47,High School,Medium,Visual
S00407,38,Undergraduate,Medium,Kinesthetic
S00408,20,Postgraduate,Medium,Reading/Writing
S00409,29,Postgraduate,High,Reading/Writing
S00410,44,Undergraduate,High,Kinesthetic
S00411,34,Undergraduate,Medium,Kinesthetic
S00412,47,Undergraduate,High,Auditory
S00413,44,Undergraduate,High,Auditory
S00414,33,High School,Medium,Reading/Writing
S00415,24,Undergraduate,Medium,Reading/Writing
S00416,37,High School,Medium,Kinesthetic
S00417,24,High School,Medium,Kinesthetic
S00418,20,Postgraduate,High,Kinesthetic
S00419,42,High School,Low,Reading/Writing
S00420,32,Undergraduate,Medium,Visual
S00421,31,Undergraduate,High,Reading/Writing
S00422,28,Postgraduate,Low,Kinesthetic
S00423,15,Undergraduate,Low,Visual
S00424,46,Postgraduate,Low,Kinesthetic
S00425,24,Undergraduate,Low,Kinesthetic
S00426,26,Undergraduate,Medium,Kinesthetic
S00427,29,Undergraduate,Medium,Visual
S00428,18,Undergraduate,Medium,Visual
S00429,38,Undergraduate,Medium,Auditory
S00430,46,High School,Low,Reading/Writing
S00431,16,High School,Low,Auditory
S00432,21,High School,Medium,Auditory
S00433,45,Undergraduate,Medium,Kinesthetic
S00434,25,High School,Medium,Reading/Writing
S00435,33,Undergraduate,Low,Reading/Writing
S00436,32,Undergraduate,Medium,Visual
S00437,17,Undergraduate,Medium,Reading/Writing
S00438,35,Undergraduate,High,Auditory
S00439,36,Undergraduate,Medium,Auditory
S00440,47,Undergraduate,Medium,Reading/Writing
S00441,28,Undergraduate,Medium,Reading/Writing
S00442,48,Undergraduate,Medium,Reading/Writing
S00443,32,Undergraduate,Low,Auditory
S00444,42,Postgraduate,High,Auditory
S00445,37,Postgraduate,Medium,Kinesthetic
S00446,39,Undergraduate,Low,Reading/Writing
S00447,28,Postgraduate,Low,Kinesthetic
S00448,18,High School,Medium,Reading/Writing
S00449,21,Postgraduate,Medium,Kinesthetic
S00450,46,Undergraduate,Low,Reading/Writing
S00451,34,Undergraduate,Medium,Visual
S00452,20,Undergraduate,Medium,Reading/Writing
S00453,44,Undergraduate,Medium,Reading/Writing
S00454,32,Undergraduate,High,Auditory
S00455,44,Undergraduate,Medium,Kinesthetic
S00456,22,Postgraduate,High,Kinesthetic
S00457,39,Postgraduate,High,Auditory
S00458,43,Postgraduate,High,Visual
S00459,36,Undergraduate,High,Visual
S00460,43,Undergraduate,Medium,Kinesthetic
S00461,34,High School,High,Auditory
S00462,23,Undergraduate,High,Visual
S00463,16,High School,Medium,Visual
S00464,26,High School,Medium,Reading/Writing
S00465,45,Undergraduate,High,Auditory
S00466,37,Postgraduate,Medium,Reading/Writing
S00467,30,Undergraduate,High,Kinesthetic
S00468,35,High School,High,Visual
S00469,38,Undergraduate,Medium,Kinesthetic
S00470,34,Undergraduate,Low,Auditory
S00471,37,High School,Medium,Kinesthetic
S00472,30,High School,Medium,Kinesthetic
S00473,34,High School,High,Reading/Writing
S00474,24,Postgraduate,High,Visual
S00475,24,Undergraduate,High,Reading/Writing
S00476,42,Postgraduate,Medium,Reading/Writing
S00477,39,Undergraduate,Low,Reading/Writing
S00478,15,High School,High,Kinesthetic
S00479,29,High School,Medium,Kinesthetic
S00480,29,Undergraduate,High,Auditory
S00481,41,Postgraduate,High,Reading/Writing
S00482,17,High School,Medium,Auditory
S00483,25,Undergraduate,High,Kinesthetic
S00484,44,High School,Medium,Reading/Writing
S00485,17,Undergraduate,Medium,Kinesthetic
S00486,39,High School,Medium,Auditory
S00487,19,Undergraduate,Low,Kinesthetic
S00488,28,Undergraduate,High,Auditory
S00489,42,High School,Medium,Visual
S00490,49,Undergraduate,High,Reading/Writing
S00491,47,Undergraduate,Medium,Visual
S00492,17,High School,High,Reading/Writing
S00493,29,High School,Medium,Auditory
S00494,35,Postgraduate,High,Kinesthetic
S00495,30,High School,High,Reading/Writing
S00496,30,High School,Low,Visual
S00497,31,Undergraduate,Low,Auditory
S00498,37,High School,Medium,Reading/Writing
S00499,25,Undergraduate,Low,Reading/Writing
S00500,35,High School,Medium,Kinesthetic
S00501,26,Undergraduate,High,Auditory
S00502,18,Undergraduate,Medium,Kinesthetic
S00503,26,Undergraduate,High,Kinesthetic
S00504,39,Undergraduate,Low,Kinesthetic
S00505,17,Undergraduate,Medium,Reading/Writing
S00506,16,Undergraduate,Low,Reading/Writing
S00507,48,Postgraduate,Medium,Kinesthetic
S00508,34,Postgraduate,High,Reading/Writing
S00509,17,Undergraduate,High,Kinesthetic
S00510,29,High School,Medium,Auditory
S00511,24,Undergraduate,Low,Auditory
S00512,23,Postgraduate,Low,Auditory
S00513,31,Undergraduate,High,Kinesthetic
S00514,42,Postgraduate,Medium,Reading/Writing
S00515,36,High School,Medium,Visual
S00516,26,Undergraduate,Medium,Kinesthetic
S00517,28,Undergraduate,Medium,Reading/Writing
S00518,27,Undergraduate,Medium,Visual
S00519,37,Undergraduate,High,Visual
S00520,30,Undergraduate,Low,Kinesthetic
S00521,16,High School,High,Reading/Writing
S00522,38,High School,Medium,Visual
S00523,41,High School,High,Reading/Writing
S00524,27,Undergraduate,Medium,Kinesthetic
S00525,24,Undergraduate,Medium,Reading/Writing
S00526,35,Postgraduate,Medium,Kinesthetic
S00527,19,High School,Medium,Reading/Writing
S00528,34,Postgraduate,Medium,Auditory
S00529,38,High School,Medium,Reading/Writing
S00530,19,Undergraduate,Medium,Visual
S00531,17,Postgraduate,Low,Kinesthetic
S00532,47,High School,Medium,Auditory
S00533,43,Postgraduate,Low,Kinesthetic
S00534,47,High School,Medium,Reading/Writing
S00535,33,High School,Low,Visual
S00536,44,Postgraduate,Medium,Kinesthetic
S00537,26,Undergraduate,High,Kinesthetic
S00538,18,Undergraduate,Low,Kinesthetic
S00539,41,Undergraduate,Medium,Kinesthetic
S00540,35,High School,Medium,Auditory
S00541,36,Undergraduate,Medium,Kinesthetic
S00542,26,Undergraduate,Medium,Kinesthetic
S00543,21,Postgraduate,Low,Reading/Writing
S00544,20,Postgraduate,Medium,Reading/Writing
S00545,42,Postgraduate,Medium,Kinesthetic
S00546,44,Undergraduate,Medium,Reading/Writing
S00547,22,Postgraduate,High,Kinesthetic
S00548,24,Undergraduate,Medium,Kinesthetic
S00549,41,High School,Medium,Visual
S00550,22,High School,High,Reading/Writing
S00551,45,High School,Medium,Visual
S00552,20,Undergraduate,Low,Kinesthetic
S00553,40,Undergraduate,Low,Auditory
S00554,32,Undergraduate,Medium,Kinesthetic
S00555,28,Postgraduate,Medium,Visual
S00556,16,High School,High,Kinesthetic
S00557,40,Undergraduate,Medium,Auditory
S00558,33,High School,High,Kinesthetic
S00559,40,Postgraduate,High,Kinesthetic
S00560,43,High School,Medium,Reading/Writing
S00561,36,High School,High,Auditory
S00562,28,Undergraduate,Low,Auditory
S00563,35,Undergraduate,Low,Auditory
S00564,23,Undergraduate,Medium,Reading/Writing
S00565,28,High School,Medium,Kinesthetic
S00566,48,Postgraduate,Low,Kinesthetic
S00567,30,Undergraduate,Medium,Visual
S00568,45,High School,High,Auditory
S00569,46,Undergraduate,Low,Kinesthetic
S00570,48,Undergraduate,High,Reading/Writing
S00571,41,Undergraduate,Low,Visual
S00572,48,High School,Low,Kinesthetic
S00573,45,High School,High,Kinesthetic
S00574,23,High School,High,Kinesthetic
S00575,48,Undergraduate,High,Kinesthetic
S00576,17,Undergraduate,Medium,Kinesthetic
S00577,23,Postgraduate,Medium,Auditory
S00578,24,High School,High,Auditory
S00579,31,Postgraduate,High,Auditory
S00580,30,High School,High,Visual
S00581,34,Postgraduate,High,Visual
S00582,49,High School,Medium,Kinesthetic
S00583,27,Postgraduate,High,Auditory
S00584,45,High School,Low,Visual
S00585,18,Undergraduate,Low,Visual
S00586,19,Postgraduate,Medium,Visual
S00587,44,Postgraduate,Medium,Kinesthetic
S00588,34,Undergraduate,High,Reading/Writing
S00589,47,Undergraduate,Low,Visual
S00590,49,High School,Medium,Auditory
S00591,31,Postgraduate,Medium,Kinesthetic
S00592,37,Undergraduate,Medium,Kinesthetic
S00593,45,Postgraduate,High,Visual
S00594,28,Undergraduate,Medium,Kinesthetic
S00595,40,Undergraduate,Medium,Visual
S00596,29,Undergraduate,High,Kinesthetic
S00597,20,High School,Medium,Kinesthetic
S00598,24,Postgraduate,Medium,Kinesthetic
S00599,32,Undergraduate,Medium,Auditory
S00600,34,High School,Medium,Kinesthetic
S00601,30,High School,Low,Reading/Writing
S00602,16,Postgraduate,Medium,Visual
S00603,19,High School,Low,Visual
S00604,26,Undergraduate,Medium,Auditory
S00605,25,High School,Medium,Kinesthetic
S00606,33,Undergraduate,High,Visual
S00607,19,Undergraduate,High,Kinesthetic
S00608,43,Undergraduate,Medium,Reading/Writing
S00609,42,Undergraduate,High,Reading/Writing
S00610,20,Undergraduate,High,Auditory
S00611,17,High School,High,Kinesthetic
S00612,24,Postgraduate,Medium,Visual
S00613,16,Undergraduate,Low,Reading/Writing
S00614,17,Undergraduate,High,Visual
S00615,17,Undergraduate,Medium,Reading/Writing
S00616,26,Undergraduate,High,Visual
S00617,43,High School,High,Visual
S00618,41,High School,Medium,Reading/Writing
S00619,46,High School,Medium,Auditory
S00620,33,Undergraduate,Low,Visual
S00621,40,Undergraduate,High,Reading/Writing
S00622,43,High School,Medium,Kinesthetic
S00623,48,Postgraduate,High,Reading/Writing
S00624,27,Postgraduate,Medium,Visual
S00625,47,Postgraduate,Low,Visual
S00626,33,Postgraduate,Medium,Kinesthetic
S00627,43,Undergraduate,Medium,Reading/Writing
S00628,16,Undergraduate,Low,Auditory
S00629,49,Undergraduate,Medium,Auditory
S00630,35,Undergraduate,Medium,Kinesthetic
S00631,43,Undergraduate,Low,Kinesthetic
S00632,36,Undergraduate,Medium,Visual
S00633,34,Postgraduate,Low,Kinesthetic
S00634,33,Undergraduate,Medium,Kinesthetic
S00635,30,Postgraduate,Low,Reading/Writing
S00636,35,Undergraduate,Medium,Kinesthetic
S00637,29,Undergraduate,Low,Auditory
S00638,33,High School,High,Auditory
S00639,46,High School,High,Kinesthetic
S00640,36,Undergraduate,High,Auditory
S00641,31,Undergraduate,Medium,Kinesthetic
S00642,44,Undergraduate,Medium,Reading/Writing
S00643,33,Undergraduate,Medium,Kinesthetic
S00644,40,High School,High,Kinesthetic
S00645,49,High School,Low,Kinesthetic
S00646,32,Undergraduate,High,Auditory
S00647,15,Undergraduate,Low,Reading/Writing
S00648,45,High School,Low,Kinesthetic
S00649,38,Postgraduate,Low,Auditory
S00650,24,Postgraduate,High,Reading/Writing
